adobe-source-han-sans-otc-fonts 1.001-1
texlive-science 2014.34853-1
the_silver_searcher 0.29.1-1
thrax 1.1.0-1
tinc-pre 1.1pre11-2
tinc-pre-systemd 3-1
tk 8.6.4-1
tmux 1.9_a-2
traceroute 2.0.21-1
trayer 1.0-8
unbound 1.5.3-1
unrar 1:5.2.6-1
unzip-iconv 6.0-2
usbutils 008-1
util-linux 2.26.1-3
uudeview 0.5.20-12
vi 1:050325-4
vim 7.4.663-2
vlock-original 2.2.3-1
vnstat 1.13-1
webbench 1.5-4
wget 1.16.3-1
which 2.20-7
whois 5.2.6-1
wine-mono 4.5.6-1
wine-silverlight 1.7.39-1
wine_gecko 2.36-1
wireless_tools 30.pre9-1
wireshark-gtk 1.12.4-2
wpa_supplicant 2.3-1
wps-office 9.1.0.4945_a16p3-1
xclip 0.12-4
xf86-input-synaptics 1.8.2-1
xf86-video-intel 2.99.917-4
xfsprogs 3.2.2-1
xmobar 0.23-1
xmonad 0.11-10
xmonad-contrib 0.11.3-2
xorg-server 1.17.1-4
xorg-server-xephyr 1.17.1-4
xorg-server-xvfb 1.17.1-4
xorg-xhost 1.0.6-1
xorg-xinit 1.3.4-2
xorg-xinput 1.6.1-1
xorg-xprop 1.2.2-1
xsane 0.999-1
xterm 317-1
xunlei-lixian-git 621.ac605e8-1
yaourt 1.5-1
ydcv 0.3.6-1
you-get-git 0.3.32.20150217-1
zbar 0.10-5
zeal-git 0.0.0.754.6834339-1
zfs-git 0.6.3_r240_g40749aa_3.19.2_1-1
zsh 5.0.7-1
